Measured_Price,Estimated_Price,Estimated_Velocity,rel_diff
368.8,369.028976,-0.098904,-0.00062
370.0,369.32454,-0.013892,0.001829
370.95,369.915054,0.116363,0.002798
371.0,370.38852,0.193322,0.001651
371.45,370.90192,0.262301,0.001478
371.75,371.38019,0.308845,0.000996
371.1,371.471866,0.262043,-0.001001
374.4,372.71686,0.473878,0.004516
373.85,373.433799,0.52626,0.001115
374.05,373.993218,0.533406,0.000152
373.3,374.074385,0.435944,-0.00207
373.8,374.24844,0.379505,-0.001198
374.5,374.580774,0.369339,-0.000216
373.75,374.507647,0.273984,-0.002023
372.95,374.106334,0.128451,-0.003091
372.95,373.761102,0.026368,-0.00217
372.95,373.478706,-0.040173,-0.001416
372.95,373.258418,-0.07899,-0.000826
373.65,373.352921,-0.0416,0.000796
373.65,373.436187,-0.014691,0.000573
373.5,373.45044,-0.008453,0.000133
373.55,373.48181,0.000129,0.000183
373.3,373.41486,-0.014327,-0.000308
373.3,373.363468,-0.022315,-0.00017
373.75,373.49189,0.01017,0.000691
373.3,373.427563,-0.005884,-0.000342
374.1,373.671766,0.048012,0.001146
371.6,372.938245,-0.120416,-0.003588
370.7,372.037015,-0.288688,-0.003594
372.55,372.043892,-0.224991,0.00136
372.2,371.959407,-0.194711,0.000647
371.7,371.740844,-0.199851,-0.00011
370.7,371.23093,-0.266673,-0.00143
370.0,370.608749,-0.343288,-0.001643
370.15,370.222892,-0.352462,-0.000197
369.2,369.623252,-0.405731,-0.001145
369.4,369.284798,-0.391232,0.000312
373.3,370.518158,-0.041118,0.007508
373.1,371.444089,0.16729,0.004458
373.0,372.123345,0.277623,0.002356
372.8,372.548086,0.309328,0.000676
367.5,370.882209,-0.116346,-0.009119
367.8,369.67239,-0.352,-0.005065
370.05,369.589387,-0.294028,0.001246
370.05,369.573585,-0.234068,0.001289
369.25,369.306513,-0.241181,-0.000153
370.3,369.520537,-0.14308,0.002109
371.05,369.994101,-0.010188,0.002854
370.9,370.321662,0.0626,0.001562
370.0,370.24259,0.032069,-0.000655
370.0,370.173396,0.010246,-0.000468
371.2,370.558359,0.091001,0.001732
371.2,370.852373,0.134752,0.000937
370.15,370.678488,0.068238,-0.001426
370.45,370.637327,0.044661,-0.000505
369.8,370.356812,-0.025417,-0.001503
371.2,370.651637,0.043598,0.001479
371.35,370.936638,0.095623,0.001114
371.8,371.315316,0.156623,0.001305
371.8,371.592891,0.18269,0.000557
374.4,372.743168,0.391214,0.004445
374.4,373.600998,0.491774,0.002139
375.55,374.630031,0.607558,0.002456
374.85,375.094691,0.576762,-0.000652
373.9,375.018342,0.436011,-0.002982
373.9,374.881284,0.312509,-0.002618
375.65,375.361991,0.348757,0.000767
375.2,375.522442,0.308176,-0.000859
375.65,375.764027,0.293825,-0.000303
375.0,375.667836,0.209773,-0.001778
